mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__contamination,param_model__max_samples,param_model__n_estimators,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15529356002807618,0.025488219370587168,0.00732731819152832,0.0005347188832193703,0.01,auto,50,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 50, 'scaler': RobustScaler()}",0.6333333333333333,0.5,0.6578947368421053,0.625,0.75,0.6332456140350877,0.08007690978337965,52
0.12448291778564453,0.028376148893761936,0.006688451766967774,0.0002340768111465593,0.01,auto,50,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 50, 'scaler': 'passthrough'}",0.6333333333333333,0.5,0.6578947368421053,0.625,0.75,0.6332456140350877,0.08007690978337965,52
0.257574462890625,0.05316340847244429,0.010955286026000977,0.00023884327256601794,0.01,auto,100,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 100, 'scaler': StandardScaler()}",0.6666666666666666,0.5714285714285714,0.7368421052631579,0.625,0.7142857142857143,0.6628446115288221,0.059875756774612925,49
0.2675912857055664,0.03903519949118412,0.011350631713867188,0.0003977631982677801,0.01,auto,100,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 100, 'scaler': RobustScaler()}",0.6666666666666666,0.5714285714285714,0.7368421052631579,0.625,0.7142857142857143,0.6628446115288221,0.059875756774612925,49
0.20879955291748048,0.01677042072881084,0.011955451965332032,0.002020570506701028,0.01,auto,100,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 100, 'scaler': 'passthrough'}",0.6666666666666666,0.5714285714285714,0.7368421052631579,0.625,0.7142857142857143,0.6628446115288221,0.059875756774612925,49
0.40355377197265624,0.014279629715019912,0.020241260528564453,0.0009232886964891758,0.01,auto,200,StandardScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 200, 'scaler': StandardScaler()}",0.7333333333333334,0.6428571428571428,0.7105263157894737,0.5625,0.6785714285714286,0.6655576441102757,0.059868647612848366,46
0.44360690116882323,0.011083683050100893,0.02016935348510742,0.0013221534116828995,0.01,auto,200,RobustScaler(),"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 200, 'scaler': RobustScaler()}",0.7333333333333334,0.6428571428571428,0.7105263157894737,0.5625,0.6785714285714286,0.6655576441102757,0.059868647612848366,46
0.39803404808044435,0.006381562527500579,0.019108343124389648,0.0006804021875618276,0.01,auto,200,passthrough,"{'model__contamination': 0.01, 'model__max_samples': 'auto', 'model__n_estimators': 200, 'scaler': 'passthrough'}",0.7333333333333334,0.6428571428571428,0.7105263157894737,0.5625,0.6785714285714286,0.6655576441102757,0.059868647612848366,46
0.12647266387939454,0.0026727254736349723,0.008011388778686523,0.00024204807448018853,0.05,0.5,50,StandardScaler(),"{'model__contamination': 0.05, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': StandardScaler()}",0.9863157894736841,0.9800420168067228,0.9872611464968153,0.9820675105485231,0.9527067669172932,0.9776786460486078,0.012766103255677933,16
0.16346044540405275,0.0036035847335706478,0.008040332794189453,0.00023660261941906827,0.05,0.5,50,RobustScaler(),"{'model__contamination': 0.05, 'model__max_samples': 0.5, 'model__n_estimators': 50, 'scaler': RobustScaler()}",0.9863157894736841,0.9800420168067228,0.9872611464968153,0.9820675105485231,0.9527067669172932,0.9776786460486078,0.012766103255677933,16
